# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
6.9824e-02 4.5100e+02 -1.2600e+02 -4.4700e+02 -1.4000e+02
7.0068e-02 3.0800e+02 3.3700e+02 -2.2000e+01 -1.2400e+02
7.0312e-02 1.6300e+02 5.5800e+02 1.7700e+02 -3.4000e+01
7.0557e-02 -1.5000e+01 4.1800e+02 -3.2000e+02 2.1300e+02
7.0801e-02 -2.7000e+01 2.5500e+02 -3.2500e+02 2.2000e+02
7.1045e-02 -1.2800e+02 -2.0000e+00 2.2000e+02 5.3000e+01
7.1289e-02 -5.0800e+02 -2.1000e+02 3.6300e+02 1.3900e+02
7.1533e-02 -3.6600e+02 -3.7800e+02 -2.0000e+02 1.5000e+01
7.1777e-02 -1.4100e+02 -2.3900e+02 1.3200e+02 -1.1300e+02
7.2021e-02 6.8000e+01 -5.6000e+01 3.9200e+02 1.1000e+02
7.2266e-02 7.6000e+01 -4.1000e+01 -8.4000e+01 -2.0000e+01
7.2510e-02 -4.1000e+01 -3.3100e+02 1.1100e+02 -1.5000e+02
7.2754e-02 2.8200e+02 -3.4700e+02 -8.0000e+01 -1.8600e+02
7.2998e-02 4.2300e+02 -1.5000e+01 -3.9700e+02 -1.3700e+02
7.3242e-02 2.4900e+02 4.4900e+02 1.2000e+02 -1.2900e+02
7.3486e-02 1.0800e+02 5.6800e+02 9.5000e+01 1.1000e+01
7.3730e-02 -5.3000e+01 4.2200e+02 -3.8700e+02 2.4800e+02
7.3975e-02 -2.8000e+01 2.3500e+02 -1.9800e+02 1.6600e+02
7.4219e-02 -2.1700e+02 -3.1000e+01 3.4700e+02 5.9000e+01
7.4463e-02 -5.2700e+02 -2.3700e+02 2.5700e+02 1.2800e+02
7.4707e-02 -2.9400e+02 -3.7100e+02 -2.3000e+02 -3.9000e+01
7.4951e-02 -8.9000e+01 -1.8100e+02 2.8500e+02 -7.9000e+01
7.5195e-02 1.0200e+02 -2.4000e+01 2.8300e+02 1.2100e+02
7.5439e-02 3.9000e+01 -9.0000e+01 -1.0700e+02 -6.0000e+01
7.5684e-02 5.0000e+00 -3.9600e+02 1.4800e+02 -1.6000e+02
7.5928e-02 3.7100e+02 -3.1700e+02 -1.9200e+02 -1.6800e+02
7.6172e-02 3.9600e+02 6.0000e+01 -3.0700e+02 -1.2200e+02
7.6416e-02 2.1700e+02 4.9400e+02 2.1400e+02 -1.0100e+02
7.6660e-02 6.7000e+01 5.0700e+02 -2.9000e+01 7.9000e+01
7.6904e-02 -5.5000e+01 3.6000e+02 -4.1600e+02 2.8300e+02
7.7148e-02 -2.5000e+01 1.5400e+02 -6.5000e+01 1.3100e+02
7.7393e-02 -3.0200e+02 -1.0800e+02 4.0500e+02 9.2000e+01
7.7637e-02 -4.9700e+02 -3.1700e+02 1.0300e+02 1.1000e+02
